ENSMUSG00000000486	Sept1
ENSMUSG00000000544	Gpa33
ENSMUSG00000001604	Tcea3
ENSMUSG00000001827	Folr1
ENSMUSG00000002227	Mov10
ENSMUSG00000002847	Pla1a
ENSMUSG00000003051	Elf3
ENSMUSG00000003623	Crot
ENSMUSG00000004038	Gstm3
ENSMUSG00000004266	Ptpn6
ENSMUSG00000005148	Klf5
ENSMUSG00000005672	Kit
ENSMUSG00000005892	Trh
ENSMUSG00000006056	Calcoco2
ENSMUSG00000006218	Fam131c
ENSMUSG00000011267	Zfp296
ENSMUSG00000012396	Nanog
ENSMUSG00000017009	Sdc4
ENSMUSG00000017764	Zswim1
ENSMUSG00000018428	Akap1
ENSMUSG00000018727	Cpsf4l
ENSMUSG00000019256	Ahr
ENSMUSG00000019947	Arid5b
ENSMUSG00000019996	Map7
ENSMUSG00000020027	Socs2
ENSMUSG00000020097	Sgpl1
ENSMUSG00000020173	Cobl
ENSMUSG00000020634	Ubxn2a
ENSMUSG00000021255	Esrrb
ENSMUSG00000021591	Glrx
ENSMUSG00000021665	Hexb
ENSMUSG00000021752	Kctd6
ENSMUSG00000021767	Kat6b
ENSMUSG00000021953	Tdh
ENSMUSG00000022040	Ephx2
ENSMUSG00000022094	Slc39a14
ENSMUSG00000022114	Spry2
ENSMUSG00000022304	Dpys
ENSMUSG00000022387	Brd1
ENSMUSG00000022652	Morc1
ENSMUSG00000022906	Parp9
ENSMUSG00000023094	Msrb2
ENSMUSG00000024376	Epb41l4a
ENSMUSG00000025056	Nr0b1
ENSMUSG00000025219	Fgf8
ENSMUSG00000025265	Fgd1
ENSMUSG00000025466	Fuom
ENSMUSG00000025856	Pdgfa
ENSMUSG00000026039	Sgol2a
ENSMUSG00000026380	Tfcp2l1
ENSMUSG00000026398	Nr5a2
ENSMUSG00000027242	Wdr76
ENSMUSG00000027244	Atg13
ENSMUSG00000027536	Chmp4c
ENSMUSG00000027702	Lrrc34
ENSMUSG00000027860	Vangl1
ENSMUSG00000027993	Trim2
ENSMUSG00000028164	Manba
ENSMUSG00000028412	Slc44a1
ENSMUSG00000028640	Tfap2c
ENSMUSG00000028654	Mycl
ENSMUSG00000029304	Spp1
ENSMUSG00000029499	Pxmp2
ENSMUSG00000029512	Ulk1
ENSMUSG00000029695	Aass
ENSMUSG00000030117	Gdf3
ENSMUSG00000030275	Etnk1
ENSMUSG00000030428	Ttyh1
ENSMUSG00000030672	Mylpf
ENSMUSG00000030722	Nfatc2ip
ENSMUSG00000031169	Porcn
ENSMUSG00000031651	Triml1
ENSMUSG00000032267	Usp28
ENSMUSG00000032346	Ooep
ENSMUSG00000032517	Mobp
ENSMUSG00000033209	Ttc28
ENSMUSG00000033373	Fntb
ENSMUSG00000033985	Tesk2
ENSMUSG00000034391	Fbxo15
ENSMUSG00000035551	Igfbpl1
ENSMUSG00000036390	Gadd45a
ENSMUSG00000036986	Pml
ENSMUSG00000037400	Atp11b
ENSMUSG00000038151	Prdm1
ENSMUSG00000038235	F11r
ENSMUSG00000038533	Cbfa2t2
ENSMUSG00000038936	Sccpdh
ENSMUSG00000039200	Atf7ip2
ENSMUSG00000039209	Rpl39l
ENSMUSG00000039395	Mreg
ENSMUSG00000039713	Plekhg5
ENSMUSG00000040276	Pacsin1
ENSMUSG00000041287	Sox15
ENSMUSG00000041359	Tcl1
ENSMUSG00000041607	Mbp
ENSMUSG00000041649	Klf8
ENSMUSG00000042388	Dlgap3
ENSMUSG00000042414	Prdm14
ENSMUSG00000043323	Fbrsl1
ENSMUSG00000043629	1700019D03Rik
ENSMUSG00000043681	Fam25c
ENSMUSG00000044150	A830080D01Rik
ENSMUSG00000044595	Dnd1
ENSMUSG00000044986	Tst
ENSMUSG00000046323	Dppa3
ENSMUSG00000046591	Ticrr
ENSMUSG00000047412	Zbtb44
ENSMUSG00000047777	Phf13
ENSMUSG00000048897	Zfp710
ENSMUSG00000049119	Fam110b
ENSMUSG00000049502	Dtx3l
ENSMUSG00000050052	Tdrp
ENSMUSG00000050914	Ankrd37
ENSMUSG00000051176	Zfp42
ENSMUSG00000051257	Trap1a
ENSMUSG00000052609	Plekhg3
ENSMUSG00000053062	Jam2
ENSMUSG00000053367	Gm6792
ENSMUSG00000054499	Dedd2
ENSMUSG00000054753	AU018091
ENSMUSG00000055148	Klf2
ENSMUSG00000055809	Dnaaf3
ENSMUSG00000056155	Nanos3
ENSMUSG00000056458	Mok
ENSMUSG00000057715	A830018L16Rik
ENSMUSG00000058135	Gstm1
ENSMUSG00000059554	Ccdc28a
ENSMUSG00000060985	Tdrd5
ENSMUSG00000061313	Ddhd2
ENSMUSG00000061877	BC048679
ENSMUSG00000062327	T
ENSMUSG00000062444	Ap3b2
ENSMUSG00000064194	Zfp936
ENSMUSG00000067215	Usp51
ENSMUSG00000067889	Sptbn2
ENSMUSG00000068245	Phf11d
ENSMUSG00000069601	Ank3
ENSMUSG00000070708	Gtsf1l
ENSMUSG00000070780	Rbm47
ENSMUSG00000071226	Cecr2
ENSMUSG00000072419	Dppa2
ENSMUSG00000073700	Klhl21
ENSMUSG00000074218	Cox7a1
ENSMUSG00000074637	Sox2
ENSMUSG00000074653	Lrrc31
ENSMUSG00000074832	2410141K09Rik
ENSMUSG00000078689	Mup6
ENSMUSG00000078952	Lncenc1
ENSMUSG00000079471	Gm7325
ENSMUSG00000091490	Triml2
ENSMUSG00000099474	1700097N02Rik
